No,HGAL,SP-1A,SP-2A,SP-6B,SP-1C,SP-2C,BLCLpredict,Monocytepredict,NKG2A,3D12 MFI
246,CAR27417,0,2,0,1,0,18.4713,16.8486,18.17,20.884
247,CAR27423,0,2,0,1,0,18.4713,16.8486,18.94,20.166
248,CAR28893,0,2,0,1,0,18.4713,16.8486,16.65,13.407
249,CAR30497,0,2,0,1,0,18.4713,16.8486,13.073,18.327
250,CAR30772,0,2,0,1,0,18.4713,16.8486,15.933,14.244
251,CAR19688,1,0,0,2,0,27.7272,20.7277,21.063,22.237
252,CAR25545,1,0,0,2,0,27.7272,20.7277,16.165,20.595
253,CAR25555,1,0,0,2,0,27.7272,20.7277,7.585,11.072
254,CAR26237,1,0,0,2,0,27.7272,20.7277,38.828,26.815
255,CAR26603,1,0,0,2,0,27.7272,20.7277,40.365,26.123
256,CAR30553,1,0,0,2,0,27.7272,20.7277,26.755,16.973
257,CAR33078,1,0,0,2,0,27.7272,20.7277,38.52,31.941
258,CAR33942,1,0,0,2,0,27.7272,20.7277,17.798,12.212
259,CAR33958,1,0,0,2,0,27.7272,20.7277,33.328,19.069
260,CAR34663,1,0,0,2,0,27.7272,20.7277,34.923,19.172
261,CAR24589,2,0,0,2,0,29.4338,21.6078,45.078,20.472
262,CAR25517,2,0,0,2,0,29.4338,21.6078,31.238,23.907
263,CAR25539,2,0,0,2,0,29.4338,21.6078,37.415,18.253
264,CAR26173,2,0,0,2,0,29.4338,21.6078,35.163,24.891
265,CAR30574,2,0,0,2,0,29.4338,21.6078,42.13,25.065
266,CAR33042,2,0,0,2,0,29.4338,21.6078,18.348,23.297
267,CAR33984,2,0,0,2,0,29.4338,21.6078,31.4,23.98
268,CAR34290,2,0,0,2,0,29.4338,21.6078,37.45,21.67
269,CAR37462,2,0,0,2,0,29.4338,21.6078,38.863,31.691
270,CAR40128,2,0,0,2,0,29.4338,21.6078,39.49,23.615
271,66K00513,1,1,1,2,0,22.7076,18.2385,21.178,30.734
272,CAR01613,1,1,1,2,0,22.7076,18.2385,28.943,36.436
273,CAR26213,1,1,1,2,0,22.7076,18.2385,10.125,23.956
274,CAR26239,1,1,1,2,0,22.7076,18.2385,15.295,19.807
275,CAR28909,1,1,1,2,0,22.7076,18.2385,21.928,25.154
276,CAR30516,1,1,1,2,0,22.7076,18.2385,17.108,20.756
277,CAR30550,1,1,1,2,0,22.7076,18.2385,12.448,23.324
278,CAR30803,1,1,1,2,0,22.7076,18.2385,30.388,29.546
279,CAR39397,1,1,1,2,0,22.7076,18.2385,34.403,31.92
280,CAR52778,1,1,1,2,0,22.7076,18.2385,36.993,24.483
281,42M01133,1,0,1,1,0,18.8768,16.7623,10.615,13.462
282,42M01135,1,0,1,1,0,18.8768,16.7623,12.315,17.298
