Cell Preparation,Stoichiometry,Cytokine conditioning,Donor,Time,IFNg,IL-10,IL-17a,IL-2,IL-4,IL-6,TNF
With bystander,1:1,No cytokine,279,48.0,1.2563935788623802e-08,7.465354056645608e-09,1.444506716460616e-07,1.5982565543759956e-08,6.66068645433638e-09,1.8562686954237267e-07,3.0800562973453844e-08
With bystander,1:1,No cytokine,279,60.0,1.2563935788623802e-08,7.465354056645608e-09,8.536235005092829e-08,1.5982565543759956e-08,6.66068645433638e-09,1.7373576985812312e-07,3.0800562973453844e-08
With bystander,1:1,No cytokine,279,72.0,1.2563935788623802e-08,8.139321620532035e-09,8.536235005092829e-08,1.5982565543759956e-08,6.66068645433638e-09,1.7956738301223523e-07,3.0800562973453844e-08
With bystander,1:1,IL-12+IL-15,276,1.0,2.9921204602634335e-08,8.690032761281212e-09,8.536235005092829e-08,1.5982565543759956e-08,6.66068645433638e-09,5.8055393326834355e-08,3.0800562973453844e-08
With bystander,1:1,IL-12+IL-15,276,3.0,2.0675238062854374e-07,2.589046085182094e-08,8.536235005092829e-08,1.5982565543759956e-08,6.66068645433638e-09,6.572338776754342e-08,4.35512740255548e-08
With bystander,1:1,IL-12+IL-15,276,6.0,3.448481883601841e-07,1.9984198259696608e-08,8.536235005092829e-08,1.5982565543759956e-08,6.66068645433638e-09,1.3493809549396252e-07,3.0800562973453844e-08
With bystander,1:1,IL-12+IL-15,276,12.0,4.0192228200371965e-07,3.220624662775141e-08,1.615635561714792e-07,1.5982565543759956e-08,6.66068645433638e-09,4.3489935186484784e-07,4.3040941640361195e-08
With bystander,1:1,IL-12+IL-15,276,18.0,4.3069583621815005e-07,5.301363999854858e-08,8.536235005092829e-08,1.5982565543759956e-08,6.66068645433638e-09,6.272740918709016e-07,1.1587592449601323e-07
With bystander,1:1,IL-12+IL-15,276,24.0,3.981444320600414e-07,6.013611857998053e-08,8.536235005092829e-08,2.2452543922546486e-08,6.681874658821539e-09,7.916370139909002e-07,5.4580440627920285e-08
With bystander,1:1,IL-12+IL-15,276,30.0,1.723081470965447e-07,5.0341764771718324e-08,8.536235005092829e-08,1.5982565543759956e-08,6.66068645433638e-09,3.9498299443328e-07,5.011143826704547e-08
With bystander,1:1,IL-12+IL-15,276,36.0,2.1782236623060012e-07,3.880927943546956e-08,1.0135048096807045e-07,1.753064701765592e-08,6.66068645433638e-09,6.432316709858139e-07,7.717305696021664e-08
With bystander,1:1,IL-12+IL-15,276,42.0,1.3859415256393744e-07,1.9595118207360838e-08,8.536235005092829e-08,1.5982565543759956e-08,6.66068645433638e-09,4.7302113417343266e-07,3.0800562973453844e-08
With bystander,1:1,IL-12+IL-15,276,48.0,1.3859415256393744e-07,1.3686121438296032e-08,8.536235005092829e-08,1.5982565543759956e-08,6.66068645433638e-09,4.959984697085339e-07,4.860915189909564e-08
With bystander,1:1,IL-12+IL-15,276,60.0,9.844568034217753e-08,1.2484736111860745e-08,8.536235005092829e-08,2.2452543922546486e-08,6.66068645433638e-09,4.3238217427083556e-07,3.0800562973453844e-08
With bystander,1:1,IL-12+IL-15,276,72.0,9.185774502602846e-08,8.552590671391996e-09,8.536235005092829e-08,1.5982565543759956e-08,6.66068645433638e-09,5.327446245376221e-07,3.0800562973453844e-08
With bystander,1:1,IL-12+IL-15,277,1.0,9.095324447218559e-08,7.465354056645608e-09,8.536235005092829e-08,1.5982565543759956e-08,6.66068645433638e-09,8.805978270459271e-08,3.0800562973453844e-08
